word	frequency
wordt	11
boomen	11
liet	11
slapen	11
stotterde	11
beneden	11
draafde	11
noode	11
vergeten	11
use	11
boog	11
bestijgen	11
voet	11
tornooi	11
zetel	11
lijf	11
geleidde	11
luide	11
daarna	11
gelooven	11
twintig	11
bemind	11
ontvangen	11
greep	11
lieven	11
weder	11
wacht	11
half	11
on	11
trouwen	11
trad	11
reus	11
konde	11
heet	11
bosschen	11
gasten	11
fluisterde	11
burchten	11
zelven	11
paragraph	11
helpe	10
vaak	10
gemaal	10
access	10
must	10
belaagde	10
arme	10
verbaasd	10
begraven	10
rijk	10
lokken	10
leed	10
verwonderde	10
ontroerde	10
metalen	10
as	10
las	10
machtige	10
tinnen	10
ebook	10
zwijgen	10
acht	10
no	10
united	10
rome	10
schaterde	10
zichtbaar	10
barbekanen	10
zelfden	10
maneschijn	10
wierp	10
verlaten	10
gelezen	10
wind	10
trademark	10
wisten	10
wendde	10
zoodra	10
waarop	10
roman	10
zoon	10
maagd	10
vreemde	10
geven	10
gemaakt	10
amoraen	10
hoofden	10
ziel	10
blanke	10
gesloten	10
vergieren	10
aventuren	10
hoogste	10
baroen	10
clerken	10
eindeloos	10
heette	10
stervende	10
twijfelde	10
staat	10
can	10
hove	10
vroeger	10
naderen	10
gelaat	10
landen	10
refund	10
we	10
schapen	10
rijken	10
wateren	10
alidrisonder	10
sloot	10
karre	10
grooten	10
heden	10
heir	10
schrijver	10
gnomen	10
pagiën	10
geheele	10
agree	9
schudde	9
noordhumberlanders	9
including	9
mariës	9
stemmen	9
voorhoofd	9
men	9
klein	9
liggen	9
heftig	9
brauwen	9
vinders	9
vierwerf	9
herinnerde	9
uren	9
wallen	9
kom	9
magië	9
bruid	9
rouwe	9
bal	9
public	9
zonneschijn	9
verscheen	9
vriend	9
allerdapperste	9
sterke	9
vlogen	9
geloof	9
gewapend	9
stralen	9
diep	9
zocht	9
gode	9
velden	9
herders	9
gebleven	9
woorden	9
your	9
handekens	9
brug	9
genoeg	9
mantel	9
tallooze	9
spelen	9
verzekerde	9
zetten	9
ruiters	9
dicht	9
dikwijls	9
klaar	9
draak	9
zonnebloemen	9
ruste	9
eenen	9
geboren	9
blijft	9
blond	9
beval	9
naderden	9
zuster	9
sliep	9
welke	9
kruis	9
juichte	9
waarheen	9
zegt	9
gracht	9
bevrijden	9
hoort	9
onzichtbaar	9
richtte	9
speren	9
drossaet	9
trappen	9
bedacht	9
paap	9
gezeten	9
lancelots	8
teeken	8
laws	8
schalk	8
ernstig	8
fel	8
krachten	8
gezweefd	8
without	8
menigertiere	8
mijnen	8
maakte	8
